Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Pallavi Thakur,Google,Canada,158,8534,6,3,29,8,3,2,7,90,60,19,394,3.41,14-06-2023,Monthly,Article,26,4,0,Tech,Negative,67.08
Vikram Mehta,Facebook,Australia,3021,3549,10,1,15,3,0,3,7,270,75,22,248,6.37,15-06-2023,Monthly,Image,13,1,1,Education,Negative,56.65
Simran Kaur,Amazon,USA,1210,12497,6,4,16,5,1,4,13,168,6,17,227,7.56,16-06-2023,Monthly,Image,25,0,1,Tech,Negative,74.79
Yashwant Joshi,Freelancer,USA,512,2667,12,2,31,0,1,3,1,20,92,44,152,3.03,17-06-2023,Monthly,Article,2,3,1,Consulting,Neutral,85.72
Shweta Bhattacharya,Google,India,4502,2639,1,1,41,4,3,1,18,494,39,30,457,2.27,18-06-2023,Monthly,Article,25,3,0,Healthcare,Negative,6.23
Rohan Iyer,Amazon,USA,55,1066,9,2,22,2,2,4,12,238,40,0,497,6.07,19-06-2023,Daily,Text,13,1,2,Healthcare,Positive,1.48
Priya Verma,Google,UK,942,14225,1,4,12,4,0,1,18,483,93,25,222,3.53,20-06-2023,Rarely,Text,29,1,0,Finance,Negative,4.05
Pallavi Thakur,Google,Canada,991,4668,12,2,21,0,2,3,9,288,70,7,195,9.31,21-06-2023,Monthly,Video,29,2,0,Finance,Negative,65.12
Pallavi Thakur,Google,USA,4190,12942,13,2,19,4,0,2,18,191,67,41,31,2.62,22-06-2023,Rarely,Video,19,1,0,Tech,Negative,68.56
Nitin Saxena,Facebook,Canada,1351,12861,9,4,35,8,1,3,9,60,19,8,224,2.12,23-06-2023,Monthly,Image,17,4,1,Healthcare,Neutral,77.33
Aarav Sharma,Facebook,Canada,3206,7475,13,3,14,2,0,2,1,415,73,18,273,9.5,24-06-2023,Weekly,Text,22,4,0,Marketing,Negative,10.91
Tanvi Agarwal,Freelancer,Australia,4399,2499,7,1,8,6,2,2,15,429,92,0,304,2.4,25-06-2023,Rarely,Image,6,2,0,Tech,Negative,89.3
Priya Verma,Freelancer,Australia,2410,1326,13,4,38,2,4,4,15,115,56,10,229,3.42,26-06-2023,Daily,Video,12,0,0,Healthcare,Neutral,53.29
Siddharth Pandey,Facebook,USA,3301,1852,11,4,34,3,1,4,3,489,83,41,187,8.52,27-06-2023,Daily,Text,5,4,1,Marketing,Positive,87.81
Siddharth Pandey,Freelancer,Australia,1844,9287,7,3,18,4,3,1,2,321,65,24,34,7.81,28-06-2023,Weekly,Image,16,4,1,Tech,Negative,32.69
Aniket Bose,Google,Australia,4950,15864,12,2,17,6,0,3,1,135,4,7,224,3.47,29-06-2023,Daily,Video,10,2,0,Education,Negative,63.11
Isha Bansal,Tesla,Australia,4324,5303,4,2,43,1,4,4,1,258,99,45,491,5.35,30-06-2023,Rarely,Text,16,3,2,Marketing,Neutral,76.82
Arjun Reddy,Tesla,Canada,2099,18249,2,2,29,0,3,1,16,480,66,48,197,0.78,01-07-2023,Weekly,Text,12,4,2,Healthcare,Positive,18.78
Divya Menon,Microsoft,Canada,2182,11885,7,1,6,3,3,3,6,258,12,30,70,4.07,02-07-2023,Rarely,Image,9,0,2,Education,Neutral,42.86
Varun Bhatia,Startup,Australia,1468,4525,5,1,27,1,3,2,6,301,28,20,322,5.05,03-07-2023,Rarely,Image,25,1,2,Marketing,Negative,76.99
Swati Rajan,Microsoft,Australia,1309,1258,1,4,12,9,1,2,11,199,29,16,233,5.6,04-07-2023,Rarely,Image,28,4,1,Tech,Negative,35.79
Divya Menon,Facebook,India,4992,3394,1,3,42,5,0,4,10,280,79,26,353,1.89,05-07-2023,Monthly,Video,7,0,1,Healthcare,Positive,34.68
Yashwant Joshi,Microsoft,India,738,16670,13,3,47,6,0,3,14,331,6,7,144,6.29,06-07-2023,Monthly,Text,15,2,0,Marketing,Positive,64.92
Aniket Bose,Google,UK,3922,2830,13,1,40,3,3,3,10,436,38,11,144,5.04,07-07-2023,Daily,Article,25,3,2,Healthcare,Positive,34.41
Abhishek Tiwari,Google,USA,2527,16410,1,2,30,8,1,2,12,234,56,32,48,7.01,08-07-2023,Weekly,Image,26,0,2,Tech,Positive,4.97
Nitin Saxena,Microsoft,UK,4198,19434,8,1,24,5,4,2,10,131,84,13,90,6.72,09-07-2023,Weekly,Text,11,4,1,Healthcare,Neutral,84.62
Shweta Bhattacharya,Amazon,Germany,1023,5708,5,4,41,0,1,3,13,265,57,8,44,8.03,10-07-2023,Monthly,Image,28,1,2,Tech,Negative,6.12
Kavya Deshmukh,Tesla,UK,3035,11516,7,3,42,8,4,3,2,280,58,5,112,9.58,11-07-2023,Rarely,Video,4,2,0,Finance,Positive,76.21
Abhishek Tiwari,Microsoft,UK,1607,16279,3,4,39,0,0,2,3,385,92,15,243,8.32,12-07-2023,Daily,Video,3,4,1,Healthcare,Neutral,63.22
Arjun Reddy,Microsoft,USA,3585,19961,10,2,43,5,3,2,2,461,48,23,82,3.03,13-07-2023,Weekly,Video,11,0,2,Marketing,Negative,2.26
Shweta Bhattacharya,Freelancer,USA,4946,2429,10,4,41,9,2,4,18,210,77,11,242,9.73,14-07-2023,Monthly,Video,2,0,2,Tech,Neutral,45.22
Ananya Kapoor,Amazon,Canada,2952,11197,11,4,11,9,4,4,18,168,32,19,34,6.41,15-07-2023,Daily,Text,17,0,2,Finance,Neutral,97.58
Karthik Nair,Freelancer,Australia,4027,3340,11,3,30,6,3,3,5,32,49,15,28,4.32,16-07-2023,Weekly,Article,9,0,1,Finance,Positive,72.75
Abhishek Tiwari,Startup,USA,4763,7997,5,3,5,9,3,3,16,254,34,2,442,7.36,17-07-2023,Monthly,Article,5,2,1,Education,Positive,87.43
Arjun Reddy,Startup,USA,2073,16207,14,2,25,0,1,3,10,414,64,21,109,6.63,18-07-2023,Daily,Article,28,0,1,Finance,Neutral,88.96
Shweta Bhattacharya,Google,USA,1807,17046,1,1,32,7,4,1,14,238,28,34,128,4.88,19-07-2023,Weekly,Image,12,4,2,Finance,Positive,15.99
Yashwant Joshi,Microsoft,USA,2100,19246,1,1,33,3,3,2,2,125,12,35,461,7.88,20-07-2023,Daily,Image,24,0,0,Education,Negative,43.84
Vikram Mehta,Tesla,Canada,124,3105,11,3,34,0,0,3,14,234,29,16,132,1.34,21-07-2023,Daily,Article,1,2,1,Healthcare,Neutral,75.81
Manish Kulkarni,Amazon,UK,1275,11965,6,1,44,1,3,4,1,278,88,21,442,4.22,22-07-2023,Daily,Article,15,0,1,Tech,Negative,77.04
Swati Rajan,Microsoft,UK,4904,8117,9,4,47,7,2,2,15,148,42,8,313,9.38,23-07-2023,Weekly,Text,29,0,2,Tech,Negative,6.49
Swati Rajan,Tesla,Germany,2885,4233,10,2,14,2,3,3,19,201,60,31,258,1.99,24-07-2023,Monthly,Article,11,0,0,Marketing,Positive,28
Aniket Bose,Tesla,Canada,970,820,2,2,23,3,4,2,3,373,7,14,356,4.55,25-07-2023,Monthly,Image,7,0,1,Marketing,Neutral,16.45
Nidhi Goel,Freelancer,UK,784,8497,9,1,11,6,4,2,18,305,97,23,448,8.51,26-07-2023,Monthly,Video,12,1,2,Education,Positive,28.79
Ritika Jain,Google,UK,1485,3556,4,4,36,0,2,2,13,339,4,48,217,1.17,27-07-2023,Daily,Text,11,0,1,Healthcare,Positive,79.08
Aarav Sharma,Amazon,UK,4268,4672,11,1,42,9,0,2,13,350,93,6,377,5.9,28-07-2023,Rarely,Image,8,1,1,Tech,Negative,4.26
Vikram Mehta,Microsoft,UK,522,18504,9,4,29,2,4,1,2,356,82,10,367,4.36,29-07-2023,Rarely,Image,4,2,0,Finance,Negative,17.46
Karthik Nair,Microsoft,Canada,2756,12362,4,3,28,9,3,4,6,15,63,13,123,4.87,30-07-2023,Monthly,Image,17,3,0,Finance,Positive,22.91
Sneha Joshi,Facebook,Germany,4085,4609,5,4,37,7,3,2,18,49,42,32,370,5.23,31-07-2023,Daily,Text,2,4,2,Consulting,Negative,37.78
Arjun Reddy,Facebook,USA,1946,447,10,3,15,1,4,3,16,101,64,18,478,7.9,01-08-2023,Rarely,Article,20,4,2,Healthcare,Positive,5.49
Rajesh Gupta,Facebook,USA,4828,1430,12,1,49,7,3,3,9,489,63,4,231,5.19,02-08-2023,Rarely,Image,22,4,0,Education,Negative,77.63
Arjun Reddy,Amazon,India,4641,8286,5,2,20,8,2,3,5,190,95,19,88,5.93,03-08-2023,Weekly,Video,27,2,2,Tech,Positive,64.25
Swati Rajan,Amazon,Canada,1190,6464,2,4,11,2,2,3,18,467,47,2,46,8.69,04-08-2023,Daily,Article,13,1,2,Healthcare,Neutral,52.81
Isha Bansal,Facebook,Australia,1992,8979,14,3,23,3,0,1,3,447,56,19,482,7.28,05-08-2023,Daily,Article,29,2,2,Marketing,Neutral,97.91
Varun Bhatia,Facebook,Germany,1372,14729,4,1,22,1,2,2,7,134,46,24,270,8.84,06-08-2023,Rarely,Article,22,0,1,Tech,Positive,20.97
Harsh Vardhan,Facebook,Canada,4302,1382,4,3,26,1,3,3,15,493,27,16,495,4.08,07-08-2023,Monthly,Image,6,3,1,Healthcare,Neutral,56.62
Priya Verma,Microsoft,Germany,3077,5603,12,2,46,0,2,2,2,274,41,10,326,2.66,08-08-2023,Monthly,Article,18,0,0,Marketing,Negative,39.11
Tanvi Agarwal,Freelancer,USA,2049,15364,14,1,11,0,3,3,4,271,81,26,96,6.29,09-08-2023,Rarely,Image,25,1,0,Education,Negative,56.36
Harsh Vardhan,Tesla,Australia,4139,14039,11,3,12,8,4,2,13,443,31,33,164,2.74,10-08-2023,Rarely,Image,17,4,0,Education,Positive,10.42
Neha Malhotra,Freelancer,USA,4208,4645,5,3,41,9,4,3,19,193,16,3,463,8.33,11-08-2023,Rarely,Text,20,0,2,Tech,Positive,8.72
Rajesh Gupta,Google,UK,1001,13328,13,4,25,1,0,3,3,95,56,28,436,6.42,12-08-2023,Monthly,Text,16,1,2,Healthcare,Neutral,14.58
Shweta Bhattacharya,Microsoft,Germany,4641,13316,8,3,22,1,0,4,2,58,20,6,303,7.45,13-08-2023,Rarely,Image,29,1,1,Education,Negative,5.15
Varun Bhatia,Google,India,264,6222,10,2,15,2,2,2,15,293,90,42,306,1.88,14-08-2023,Rarely,Article,24,1,0,Education,Negative,78.77
Arjun Reddy,Startup,Germany,119,3889,11,4,30,5,1,1,8,268,82,38,138,7.51,15-08-2023,Rarely,Image,4,2,2,Tech,Neutral,9.89
Yashwant Joshi,Microsoft,UK,584,6872,1,4,9,4,3,3,18,482,43,26,146,7.44,16-08-2023,Monthly,Image,2,1,0,Consulting,Neutral,98.01
Priya Verma,Facebook,Germany,3196,4998,8,1,7,1,4,2,11,340,24,38,333,8.27,17-08-2023,Daily,Video,28,0,2,Tech,Negative,83.15
Divya Menon,Freelancer,India,4259,3013,8,1,29,0,4,3,15,231,42,43,454,5.61,18-08-2023,Rarely,Image,3,4,1,Marketing,Neutral,14.29
Yashwant Joshi,Startup,Canada,1407,18805,8,1,39,8,0,4,14,141,26,8,258,1.46,19-08-2023,Weekly,Video,28,4,2,Healthcare,Positive,97.79
Nitin Saxena,Tesla,India,294,18668,12,4,5,5,2,1,5,302,94,27,258,7.12,20-08-2023,Monthly,Video,12,0,1,Tech,Positive,36.37
Rahul Mishra,Startup,Canada,3014,4472,2,2,24,4,0,1,3,192,2,48,364,8.83,21-08-2023,Weekly,Article,3,4,0,Education,Positive,43.22
Kavya Deshmukh,Google,Germany,2888,1827,13,3,33,3,4,3,3,96,50,6,427,1.91,22-08-2023,Daily,Video,25,4,1,Education,Positive,99.96
Abhishek Tiwari,Google,USA,908,9883,13,3,44,5,2,1,9,241,75,31,376,0.52,23-08-2023,Rarely,Video,12,2,1,Healthcare,Positive,10.69
Priya Verma,Startup,Canada,1295,6393,5,2,11,8,4,3,17,317,16,10,292,3.86,24-08-2023,Monthly,Video,8,2,0,Finance,Neutral,57.68
Shweta Bhattacharya,Amazon,UK,1942,7428,2,2,39,4,2,1,5,30,12,30,256,9.57,25-08-2023,Weekly,Text,10,0,1,Healthcare,Neutral,98.77
Abhishek Tiwari,Tesla,India,3080,5992,6,2,43,8,2,2,8,457,42,13,171,5.81,26-08-2023,Monthly,Image,15,0,0,Consulting,Positive,88.42
Siddharth Pandey,Google,Australia,4436,4025,10,1,11,7,4,4,19,378,28,36,330,5.94,27-08-2023,Daily,Article,28,2,0,Finance,Neutral,62.8
Arjun Reddy,Facebook,UK,479,9604,6,1,43,3,4,2,7,408,0,0,80,8.02,28-08-2023,Rarely,Image,18,2,0,Tech,Negative,5.94
Aditi Chauhan,Freelancer,India,4265,2191,14,4,16,6,4,3,1,407,4,23,96,2.96,29-08-2023,Weekly,Article,12,2,2,Marketing,Negative,79.4
Arjun Reddy,Microsoft,UK,1596,13408,13,4,28,0,3,1,6,281,90,9,334,2.97,30-08-2023,Monthly,Image,12,4,1,Marketing,Positive,61.04
Neha Malhotra,Amazon,UK,3618,17938,3,2,29,2,1,2,16,429,97,2,293,2.88,31-08-2023,Rarely,Image,4,2,2,Finance,Negative,68.63
Isha Bansal,Tesla,USA,844,6502,14,2,8,4,4,2,14,289,23,35,45,5.63,01-09-2023,Weekly,Video,20,1,2,Healthcare,Negative,61.23
Arjun Reddy,Google,Canada,1363,4192,3,2,16,1,4,4,9,273,94,16,441,7.76,02-09-2023,Rarely,Text,2,2,2,Education,Negative,31.83
Harsh Vardhan,Tesla,UK,4620,12586,3,3,5,3,2,3,9,143,2,33,281,8.86,03-09-2023,Rarely,Text,18,1,1,Consulting,Negative,46.03
Aarav Sharma,Microsoft,Germany,4597,18182,7,2,36,4,1,1,10,266,91,4,345,4.93,04-09-2023,Monthly,Article,3,1,1,Tech,Negative,49.92
Tanvi Agarwal,Amazon,Canada,310,6357,8,4,38,4,1,1,16,110,53,19,222,5.88,05-09-2023,Rarely,Text,7,3,0,Marketing,Negative,29.07
Vikram Mehta,Amazon,India,2347,16267,11,3,42,0,0,4,12,358,45,4,253,5.53,06-09-2023,Rarely,Image,1,4,1,Marketing,Neutral,94.29
Pooja Choudhary,Amazon,UK,3529,16867,11,1,5,6,1,1,10,332,24,6,281,3.47,07-09-2023,Daily,Article,13,4,1,Healthcare,Positive,39.81
Vikram Mehta,Microsoft,Australia,365,15676,12,2,33,9,1,1,9,74,33,11,163,3.01,08-09-2023,Weekly,Article,11,4,0,Marketing,Neutral,8.74
Rajesh Gupta,Freelancer,USA,3449,19203,9,4,38,7,1,3,9,76,21,37,136,5.51,09-09-2023,Weekly,Text,23,3,2,Marketing,Negative,57.25
Simran Kaur,Amazon,UK,4549,18800,2,2,34,1,0,4,4,321,87,9,35,3.59,10-09-2023,Rarely,Article,17,4,0,Consulting,Negative,71.01
Kavya Deshmukh,Startup,India,2635,15500,12,3,6,4,1,2,15,300,87,5,240,3.95,11-09-2023,Daily,Image,15,3,2,Marketing,Positive,16.96
Sneha Joshi,Freelancer,USA,585,10394,11,3,43,7,4,2,8,95,73,35,112,8.35,12-09-2023,Monthly,Image,3,3,0,Finance,Neutral,53.25
Ananya Kapoor,Facebook,Germany,2613,12348,12,2,39,0,4,1,5,10,43,45,96,3.01,13-09-2023,Rarely,Video,27,2,0,Consulting,Positive,39.78
Sneha Joshi,Startup,Australia,1898,7745,10,1,27,5,0,2,13,298,42,26,446,6.37,14-09-2023,Rarely,Article,21,3,0,Education,Positive,69.63
Manish Kulkarni,Tesla,USA,785,1455,5,3,26,8,2,3,15,442,3,17,206,5.95,15-09-2023,Rarely,Article,22,3,2,Consulting,Positive,29.92
Manish Kulkarni,Facebook,Canada,4575,3299,7,4,38,5,1,2,2,105,43,10,98,4.67,16-09-2023,Daily,Text,12,4,2,Finance,Neutral,9.72
Ritika Jain,Freelancer,Germany,4366,18282,7,1,47,7,1,2,9,322,39,40,261,8.05,17-09-2023,Daily,Article,2,4,0,Tech,Neutral,93.89
Aditi Chauhan,Tesla,UK,2439,19025,3,3,29,9,1,1,1,52,29,8,315,6.99,18-09-2023,Daily,Text,11,3,2,Consulting,Negative,50.86
Kavya Deshmukh,Facebook,UK,3622,16263,13,1,14,8,1,2,1,138,75,3,16,8.25,19-09-2023,Rarely,Article,17,1,1,Consulting,Negative,64.59
Isha Bansal,Facebook,Germany,1612,14905,3,4,45,0,1,2,18,70,39,2,349,2.56,20-09-2023,Rarely,Video,29,2,0,Finance,Negative,58.15
Simran Kaur,Freelancer,Canada,1507,14658,8,1,15,9,3,3,6,17,90,43,345,3.82,21-09-2023,Monthly,Text,22,3,1,Marketing,Positive,51.22
Aarav Sharma,Google,India,3095,6742,6,1,32,1,2,1,8,467,72,4,277,3.53,22-09-2023,Weekly,Article,4,4,0,Marketing,Neutral,62.66
Varun Bhatia,Google,India,3746,14302,7,2,32,0,4,2,4,323,78,8,224,6.13,23-09-2023,Rarely,Article,23,0,2,Healthcare,Negative,63.64
Pooja Choudhary,Freelancer,UK,2239,13719,4,2,47,4,4,1,12,153,24,44,487,6.8,24-09-2023,Daily,Article,29,2,0,Tech,Neutral,26.93
Yashwant Joshi,Facebook,UK,3891,18619,6,3,16,3,1,3,7,426,31,10,36,5.41,25-09-2023,Weekly,Text,26,3,1,Education,Neutral,26.46
Tanvi Agarwal,Startup,Australia,1347,10928,13,1,13,5,1,2,12,464,3,40,448,9.38,26-09-2023,Weekly,Text,8,3,1,Education,Positive,24.85
Rohan Iyer,Tesla,USA,2396,12803,6,3,46,2,0,2,5,354,95,26,337,1.84,27-09-2023,Weekly,Text,19,1,2,Marketing,Neutral,18.16
Simran Kaur,Startup,Canada,3920,9662,4,1,22,2,4,2,16,283,59,13,128,0.9,28-09-2023,Daily,Article,11,1,2,Education,Neutral,84.4
Shweta Bhattacharya,Facebook,Canada,92,6179,14,4,26,9,0,3,12,322,38,46,216,1.47,29-09-2023,Monthly,Article,7,0,1,Education,Positive,22.36
Pallavi Thakur,Google,India,2812,5022,13,4,11,9,2,3,16,158,69,45,144,7.34,30-09-2023,Monthly,Image,10,1,1,Education,Positive,70.01
Varun Bhatia,Google,UK,3671,1914,5,1,35,3,0,2,13,32,22,18,280,9.55,01-10-2023,Monthly,Text,5,0,0,Healthcare,Positive,77.25
Priya Verma,Amazon,UK,1669,17264,6,2,33,4,1,4,18,423,34,6,92,6.54,02-10-2023,Weekly,Article,12,3,2,Marketing,Neutral,65.7
Aakash Sinha,Amazon,USA,4645,2702,3,1,44,4,0,1,18,57,58,42,206,4.44,03-10-2023,Daily,Image,13,2,0,Education,Negative,16.76
Abhishek Tiwari,Tesla,USA,2048,16186,4,4,10,0,2,1,8,93,85,27,223,1.29,04-10-2023,Weekly,Image,21,0,1,Education,Negative,24.4
Rajesh Gupta,Google,Australia,2197,7791,3,4,7,3,1,3,12,30,63,12,258,7.34,05-10-2023,Daily,Image,6,4,0,Consulting,Positive,41.25
Sandeep Patil,Facebook,UK,3812,19247,9,1,27,4,3,3,12,313,71,5,121,0.93,06-10-2023,Weekly,Text,12,0,2,Tech,Negative,53.88
Divya Menon,Tesla,Germany,1490,18045,1,2,21,9,1,1,13,153,65,24,457,7.01,07-10-2023,Weekly,Text,4,3,0,Education,Positive,86
Vikram Mehta,Facebook,Australia,2526,8239,11,4,29,5,2,4,6,146,82,18,467,1.61,08-10-2023,Daily,Image,20,3,0,Marketing,Negative,78.13
Tanvi Agarwal,Startup,Germany,3972,18711,6,3,40,9,3,1,12,46,12,24,165,1.19,09-10-2023,Rarely,Image,5,1,0,Education,Neutral,44.44
Harsh Vardhan,Facebook,Canada,833,140,4,4,17,2,1,2,3,123,69,15,145,6.97,10-10-2023,Daily,Image,25,4,2,Education,Negative,64.37
Manish Kulkarni,Facebook,Australia,2598,16343,7,1,49,6,3,1,14,72,24,13,415,6.43,11-10-2023,Daily,Text,18,2,0,Education,Positive,1.1
Harsh Vardhan,Amazon,Canada,4204,12803,6,3,19,0,1,4,3,360,19,5,400,9.78,12-10-2023,Daily,Video,23,2,2,Consulting,Negative,93.74
Sandeep Patil,Google,Canada,1203,9779,5,4,10,8,3,3,12,100,28,20,252,3.65,13-10-2023,Daily,Image,15,1,1,Education,Neutral,82.96
Rohan Iyer,Freelancer,USA,2797,4602,11,1,39,9,2,3,8,112,71,8,473,8.85,14-10-2023,Monthly,Video,17,1,2,Consulting,Negative,15.54
Rajesh Gupta,Microsoft,Germany,4659,19857,14,1,24,9,2,4,7,47,9,47,482,1.93,15-10-2023,Daily,Article,5,3,2,Education,Positive,47.09
Swati Rajan,Microsoft,USA,4096,890,14,4,32,2,4,3,16,391,92,18,460,6.56,16-10-2023,Monthly,Image,19,4,0,Tech,Neutral,96.66
Varun Bhatia,Facebook,Germany,3564,2630,4,2,34,8,3,4,13,366,65,38,47,2.5,17-10-2023,Rarely,Video,25,2,1,Consulting,Negative,98.28
Rajesh Gupta,Startup,India,2165,14552,13,4,8,9,3,3,19,203,95,42,451,9.51,18-10-2023,Monthly,Video,2,0,0,Education,Negative,22.45
Aditi Chauhan,Google,Germany,4235,9443,9,3,34,2,3,3,7,85,22,22,37,8.78,19-10-2023,Weekly,Video,2,1,1,Tech,Neutral,37.16
Ritika Jain,Google,Germany,3592,15216,5,1,9,2,3,2,7,350,73,34,213,2.24,20-10-2023,Weekly,Image,6,2,2,Tech,Negative,37.2
Yashwant Joshi,Google,India,2276,4486,10,1,17,8,4,1,4,363,46,43,472,8.09,21-10-2023,Weekly,Video,13,1,1,Education,Positive,4.49
Shweta Bhattacharya,Freelancer,USA,2949,12580,5,1,41,5,4,1,4,468,49,27,431,4.5,22-10-2023,Daily,Text,26,4,1,Consulting,Negative,45.89
Arjun Reddy,Startup,USA,1446,2246,8,4,33,0,1,3,18,29,70,40,18,7.4,23-10-2023,Weekly,Image,10,0,0,Tech,Negative,61.71
Pallavi Thakur,Microsoft,India,1801,496,3,3,17,9,3,1,9,273,45,5,279,7.91,24-10-2023,Weekly,Image,12,2,1,Finance,Positive,33.45
Shweta Bhattacharya,Startup,USA,2843,12883,14,2,9,5,4,4,18,104,46,46,462,0.55,25-10-2023,Weekly,Video,14,0,2,Consulting,Neutral,88.09
Divya Menon,Microsoft,USA,1581,19049,2,4,10,8,2,2,7,56,81,14,113,4.08,26-10-2023,Weekly,Article,28,3,2,Marketing,Positive,46.55
Isha Bansal,Facebook,USA,4903,5366,10,3,11,6,2,3,9,351,50,33,111,7.92,27-10-2023,Rarely,Image,26,2,2,Education,Negative,4.28
Vikram Mehta,Microsoft,Canada,3652,3434,5,1,47,1,0,2,5,22,44,0,239,7.93,28-10-2023,Weekly,Video,15,4,2,Finance,Positive,28.72
Aniket Bose,Facebook,Germany,2605,18810,12,1,12,1,2,4,17,255,73,18,155,7.49,29-10-2023,Daily,Article,11,4,1,Consulting,Negative,13.13
Yashwant Joshi,Amazon,Australia,4366,13210,7,1,12,9,2,2,11,97,20,13,220,7.94,30-10-2023,Monthly,Image,17,3,0,Marketing,Positive,73.77
Isha Bansal,Microsoft,India,4818,1765,1,2,46,1,4,3,19,50,18,45,281,9.22,31-10-2023,Daily,Article,8,0,2,Healthcare,Positive,5.78
Ananya Kapoor,Google,UK,70,17019,8,2,29,8,2,2,15,334,99,37,424,5,01-11-2023,Monthly,Text,27,4,0,Consulting,Negative,8.39
Rajesh Gupta,Freelancer,Canada,524,13853,5,4,18,2,3,2,6,281,96,28,178,7.27,02-11-2023,Monthly,Text,14,2,2,Finance,Negative,16.59
Rajesh Gupta,Startup,India,2034,13024,11,1,34,7,3,3,18,11,61,46,166,0.96,03-11-2023,Daily,Article,18,3,0,Healthcare,Positive,21.55
Ananya Kapoor,Google,India,626,19659,4,1,43,3,2,3,14,78,79,26,59,7.61,04-11-2023,Weekly,Video,21,1,1,Tech,Negative,18.59
Rohan Iyer,Amazon,Canada,3281,17428,4,2,26,5,1,4,8,165,89,44,393,4.38,05-11-2023,Weekly,Text,17,0,1,Consulting,Negative,39.78
Shweta Bhattacharya,Startup,Australia,773,18790,4,1,30,7,1,4,15,454,93,36,271,0.63,06-11-2023,Daily,Article,4,0,0,Consulting,Positive,24.31
Aarav Sharma,Microsoft,UK,2989,5732,2,3,23,7,4,4,10,47,11,33,173,5.18,07-11-2023,Daily,Text,21,1,0,Finance,Negative,47.27
Aarav Sharma,Facebook,India,1937,300,1,2,44,8,0,3,12,257,54,44,116,5.94,08-11-2023,Daily,Image,9,0,2,Tech,Positive,77.25
Aniket Bose,Amazon,Canada,552,875,10,3,42,3,2,2,8,297,30,43,334,6.05,09-11-2023,Monthly,Video,26,2,1,Education,Negative,34.92
Isha Bansal,Google,Australia,877,6392,5,2,36,2,3,2,15,231,0,31,93,9.78,10-11-2023,Daily,Image,20,2,2,Tech,Positive,23.21
Ritika Jain,Startup,Canada,2969,19322,2,3,6,6,2,1,18,361,52,8,57,0.81,11-11-2023,Monthly,Image,16,3,2,Marketing,Positive,90.84
Neha Malhotra,Freelancer,India,1308,3871,7,3,36,9,4,4,5,308,92,30,116,5.88,12-11-2023,Weekly,Text,21,3,1,Tech,Negative,64.06
Karthik Nair,Amazon,UK,1403,16616,3,1,23,8,2,3,4,212,11,37,203,8.19,13-11-2023,Daily,Image,26,3,2,Marketing,Neutral,52.18
Ritika Jain,Amazon,India,4239,16423,13,2,46,4,1,2,6,381,7,16,39,7.23,14-11-2023,Monthly,Article,26,2,2,Education,Positive,53.01
Nidhi Goel,Google,India,69,9626,1,3,42,9,2,3,8,30,50,48,22,5.69,15-11-2023,Rarely,Article,12,3,2,Finance,Neutral,97.4
Neha Malhotra,Facebook,Canada,2916,10374,11,3,43,8,3,4,18,151,39,29,289,7.41,16-11-2023,Daily,Article,26,0,1,Education,Neutral,94.35
Nidhi Goel,Google,Canada,3306,2138,13,1,49,5,2,2,7,490,66,29,120,5.73,17-11-2023,Monthly,Image,26,3,0,Healthcare,Negative,9.75
Ananya Kapoor,Amazon,UK,3872,3677,14,2,42,3,0,1,17,241,7,38,433,5.85,18-11-2023,Monthly,Image,28,4,1,Marketing,Positive,98.47
Simran Kaur,Tesla,Australia,1770,10205,14,1,12,4,3,1,15,374,47,8,182,8.03,19-11-2023,Weekly,Video,4,0,0,Healthcare,Neutral,36.81
Ananya Kapoor,Startup,Germany,3045,12566,3,2,34,6,1,4,12,374,99,18,385,2.85,20-11-2023,Rarely,Image,16,0,2,Tech,Negative,90.85
Vikram Mehta,Startup,Germany,75,12624,4,4,19,6,2,3,6,453,30,1,280,1.06,21-11-2023,Rarely,Image,26,4,1,Healthcare,Positive,17.51
Shweta Bhattacharya,Amazon,Canada,3152,2634,7,1,34,7,3,4,15,214,26,32,374,8.89,22-11-2023,Monthly,Text,17,4,1,Consulting,Positive,69.19
Siddharth Pandey,Startup,Australia,1948,9064,11,2,5,2,1,3,16,337,18,8,288,9.73,23-11-2023,Rarely,Image,19,3,0,Finance,Negative,21.48
Vikram Mehta,Google,Germany,4068,18401,3,1,19,0,3,4,16,416,45,24,290,4.82,24-11-2023,Daily,Video,3,0,2,Consulting,Negative,94.93
Abhishek Tiwari,Tesla,Germany,3790,5055,9,2,20,0,3,2,19,12,35,35,205,8.09,25-11-2023,Monthly,Article,12,0,0,Healthcare,Negative,77.38
Simran Kaur,Freelancer,Germany,674,8203,7,1,37,1,0,4,19,182,61,48,420,9.28,26-11-2023,Rarely,Text,8,2,1,Finance,Negative,10.66
Aditi Chauhan,Startup,UK,1447,10116,10,3,36,5,1,1,15,461,60,26,124,1.78,27-11-2023,Rarely,Video,19,4,1,Tech,Neutral,57.72
